82-Pb-208(n,&gamma;) ENDF/B-VII.1
1.0E-5,0.0116821
1.31241E-5,0.0101974
1.70876E-5,0.00893675
2.2426E-5,0.00780095
2.91987E-5,0.00683661
3.83206E-5,0.00596765
4.98935E-5,0.00522996
6.54808E-5,0.00456524
8.52562E-5,0.00400097
1.11891E-4,0.00349245
1.45682E-4,0.00306071
1.91195E-4,0.00267177
2.48937E-4,0.00234152
3.26707E-4,0.00204385
4.25373E-4,0.00179121
5.58264E-4,0.00156353
7.26861E-4,0.00137033
9.53941E-4,0.00119616
0.00124203,0.00104825
0.00163006,9.15032E-4
0.00212234,8.01927E-4
0.00278538,7.00017E-4
0.00362657,6.13642E-4
0.00475955,5.36556E-4
0.00619694,4.70272E-4
0.00813293,4.10498E-4
0.0105891,3.60196E-4
0.0138972,3.14097E-4
0.0180942,2.752E-4
0.0234661,2.42028E-4
0.0253,2.32858E-4
0.033204,2.0294E-4
0.0432317,1.78325E-4
0.0567377,1.55315E-4
0.0738726,1.36339E-4
0.0969512,1.18873E-4
0.126231,1.04112E-4
0.165666,9.09304E-5
0.215698,7.96709E-5
0.283085,6.9481E-5
0.40461,5.81907E-5
0.526803,5.09762E-5
0.740326,4.29509E-5
0.971613,3.75368E-5
1.26504,3.30622E-5
1.59764,2.93331E-5
2.08012,2.5656E-5
2.88541,2.17548E-5
3.78684,1.90261E-5
4.93047,1.67649E-5
5.74551,1.54245E-5
7.87708,1.32141E-5
10.256,1.1638E-5
12.5867,1.048E-5
15.7264,9.37041E-6
20.4758,8.25788E-6
25.1456,7.43827E-6
31.425,6.65556E-6
40.9154,5.8728E-6
50.2634,5.29592E-6
62.8223,4.74681E-6
81.7947,4.19974E-6
100.499,3.79742E-6
125.617,3.41649E-6
173.313,2.95475E-6
228.834,2.60229E-6
300.324,2.33501E-6
366.119,2.14637E-6
502.384,1.91778E-6
732.212,1.70528E-6
1004.74,1.59098E-6
1464.4,1.51605E-6
2411.34,1.55103E-6
3660.96,1.70634E-6
7345.16,2.37274E-6
14690.3,3.91329E-6
23430.0,5.97144E-6
32216.3,8.49886E-6
38805.9,1.097E-5
43931.2,1.34941E-5
46310.9,1.52077E-5
46768.5,1.61294E-5
46920.0,1.71996E-5
47000.0,1.85858E-5
47040.0,1.99039E-5
47072.7,2.14801E-5
47100.7,2.38047E-5
47124.4,2.70305E-5
47141.3,3.06309E-5
47156.3,3.52328E-5
47169.4,4.1404E-5
47178.8,4.77162E-5
47188.4,5.70715E-5
47196.6,6.87777E-5
47204.5,8.50947E-5
47210.0,1.01421E-4
47215.6,1.24748E-4
47220.5,1.54286E-4
47224.5,1.88499E-4
47228.0,2.29985E-4
47231.0,2.78727E-4
47233.8,3.40053E-4
47236.2,4.15413E-4
47238.5,5.13995E-4
47240.6,6.41795E-4
47242.1,7.68715E-4
47243.4,9.18574E-4
47244.4,0.00107701
47245.3,0.00127132
47246.0,0.00151259
47246.7,0.00181231
47247.2,0.00216527
47247.7,0.00266578
47248.1,0.00324651
47248.6,0.00403635
47249.0,0.00511088
47249.4,0.00651958
47249.9,0.00846493
47250.3,0.0110617
47250.8,0.0144896
47251.2,0.0189575
47251.6,0.0246994
47252.1,0.0331454
47252.6,0.0439694
47253.2,0.0594377
47253.8,0.0807021
47254.5,0.110954
47255.5,0.162213
47257.8,0.304853
47258.9,0.350901
47259.9,0.367673
47260.0,0.367768
47261.0,0.353245
47262.0,0.31309
47263.7,0.212418
47265.0,0.135638
47265.8,0.095571
47266.5,0.0699031
47267.1,0.0507303
47267.7,0.0371722
47268.1,0.0284435
47268.6,0.0219054
47269.0,0.0167763
47269.4,0.0128113
47269.9,0.00978713
47270.3,0.00756462
47270.7,0.00606503
47271.1,0.00470776
47271.6,0.00371675
47272.0,0.00299488
47272.5,0.00243108
47273.1,0.00197545
47273.6,0.00165857
47274.3,0.00139377
47275.1,0.00118047
47276.2,9.69393E-4
47277.5,8.10724E-4
47279.2,6.53597E-4
47281.2,5.30264E-4
47283.3,4.34699E-4
47285.6,3.58292E-4
47288.4,2.90917E-4
47291.7,2.34667E-4
47295.2,1.92647E-4
47299.1,1.58031E-4
47303.6,1.29886E-4
47308.7,1.06443E-4
47314.7,8.75552E-5
47320.8,7.36084E-5
47329.5,6.01443E-5
47338.6,5.03387E-5
47350.4,4.18183E-5
47364.7,3.5161E-5
47381.7,3.01797E-5
47401.2,2.64271E-5
47424.6,2.36235E-5
47455.8,2.13718E-5
47494.8,1.96956E-5
47541.6,1.85181E-5
47604.1,1.76798E-5
47791.3,1.67979E-5
48103.3,1.65491E-5
50536.9,1.83989E-5
53844.2,2.211E-5
56340.3,2.60071E-5
58337.1,3.01418E-5
59834.8,3.40821E-5
61831.6,4.09203E-5
63733.4,5.02481E-5
65248.9,6.0989E-5
66562.4,7.41666E-5
67673.8,9.01267E-5
68583.1,1.09136E-4
69239.8,1.29939E-4
69694.5,1.52393E-4
69997.6,1.76331E-4
70224.9,2.05386E-4
70376.5,2.35986E-4
70502.8,2.74926E-4
70603.8,3.23089E-4
70684.6,3.81365E-4
70755.3,4.58048E-4
70805.9,5.3725E-4
70856.4,6.51228E-4
70896.8,7.80895E-4
70934.7,9.55221E-4
70968.8,0.00118108
70995.3,0.00142942
71021.8,0.0017781
71044.6,0.00220154
71063.5,0.00269034
71082.4,0.00336852
71099.5,0.00422529
71115.3,0.00533601
71129.5,0.00672541
71142.1,0.00840737
71154.8,0.0106661
71168.3,0.0139043
71190.3,0.0207459
71201.9,0.024057
71212.2,0.0255838
71215.1,0.0256695
71225.2,0.0247174
71237.7,0.021482
71261.1,0.0141626
71274.3,0.0109359
71286.7,0.0086577
71299.4,0.00692086
71312.3,0.00559678
71327.5,0.00446081
71344.5,0.00354607
71361.6,0.00288747
71380.5,0.0023547
71403.2,0.00189714
71429.8,0.00152385
71456.3,0.00126045
71490.4,0.00102326
71528.3,8.42348E-4
71573.7,6.95578E-4
71624.2,5.86012E-4
71684.9,4.98528E-4
71755.6,4.32322E-4
71856.6,3.75245E-4
72019.5,3.29563E-4
72115.4,3.16243E-4
72355.0,3.04675E-4
72690.5,3.14614E-4
73169.8,3.55786E-4
73649.0,4.20299E-4
74128.3,5.14455E-4
74559.6,6.33078E-4
74943.0,7.80106E-4
75278.5,9.55255E-4
75566.1,0.00116
75877.6,0.00146679
76141.2,0.00183156
76380.9,0.00229439
76596.5,0.00287651
76788.2,0.00359434
76956.0,0.00445511
77099.8,0.00545227
77243.5,0.00679778
77387.3,0.00865333
77507.1,0.0107724
77627.0,0.0135896
77746.8,0.0173859
77866.6,0.0222793
78115.8,0.0343762
78211.7,0.0372684
78263.9,0.0377444
78345.9,0.0367227
78460.9,0.032389
78690.9,0.0211466
78825.1,0.0160107
78944.9,0.0125916
79064.8,0.0100189
79208.5,0.00778178
79352.3,0.00617703
79496.1,0.00500136
79663.8,0.00399839
79855.6,0.00317203
80047.3,0.00257355
80262.9,0.00207968
80502.6,0.00168034
80742.2,0.00138562
81029.8,0.00112392
81365.2,9.03413E-4
81748.7,7.23375E-4
82180.0,5.78841E-4
82659.3,4.63921E-4
83234.4,3.67829E-4
83809.5,3.00076E-4
84480.5,2.44264E-4
84959.8,2.15691E-4
85439.0,1.96551E-4
85678.7,1.92826E-4
85858.4,1.9659E-4
85994.3,2.06157E-4
86107.5,2.26627E-4
86175.3,2.50381E-4
86231.9,2.83468E-4
86277.2,3.25994E-4
86316.8,3.84067E-4
86349.8,4.59247E-4
86376.6,5.51223E-4
86397.8,6.56406E-4
86419.0,8.08413E-4
86435.5,9.78069E-4
86450.6,0.00119533
86463.6,0.00145445
86476.8,0.00182342
86488.3,0.00227791
86499.0,0.00285696
86509.3,0.00363494
86519.6,0.00470674
86529.5,0.00604084
86547.2,0.00890517
86554.7,0.0097911
86561.5,0.0100725
86569.1,0.00970298
86579.6,0.00828123
86597.0,0.00550738
86607.6,0.00420034
86617.0,0.00333643
86626.9,0.00266339
86638.2,0.00210614
86650.0,0.00169082
86663.2,0.00135852
86677.4,0.0011048
86694.4,8.90121E-4
86711.3,7.38354E-4
86732.5,6.04421E-4
86755.2,5.04916E-4
86783.4,4.18721E-4
86816.4,3.50938E-4
86850.4,3.03179E-4
86895.6,2.5983E-4
86952.2,2.24595E-4
87020.1,1.97522E-4
87125.7,1.72036E-4
87276.5,1.51501E-4
87502.8,1.34537E-4
87879.9,1.18841E-4
88558.8,1.02225E-4
89652.4,8.52018E-5
91010.1,7.09985E-5
92483.3,6.03174E-5
94386.1,5.10064E-5
96289.0,4.43946E-5
98984.6,3.84617E-5
101997.0,3.45336E-5
105169.0,3.2707E-5
105803.0,3.26155E-5
108340.0,3.34955E-5
110084.0,3.60654E-5
111353.0,4.01383E-5
112304.0,4.57353E-5
113018.0,5.28849E-5
113573.0,6.1616E-5
114049.0,7.31193E-5
114445.0,8.77202E-5
114762.0,1.04756E-4
115063.0,1.27994E-4
115317.0,1.56906E-4
115539.0,1.93653E-4
115698.0,2.29879E-4
115856.0,2.79647E-4
115983.0,3.33443E-4
116110.0,4.06157E-4
116221.0,4.91977E-4
116332.0,6.11057E-4
116431.0,7.60003E-4
116514.0,9.3309E-4
116598.0,0.0011738
116669.0,0.00146289
116728.0,0.00179274
116788.0,0.00224478
116841.0,0.00280812
116889.0,0.00349515
116937.0,0.00444242
116978.0,0.00558169
117020.0,0.00713228
117061.0,0.00922858
117106.0,0.0121758
117179.0,0.0177007
117210.0,0.0191784
117230.0,0.0194158
117258.0,0.0187537
117301.0,0.016052
117373.0,0.0105955
117414.0,0.00818496
117456.0,0.00635666
117497.0,0.00501395
