82-Pb-206(n,inelastic) ENDF/B-VII.1
807033.0,0.0
900000.0,0.240561
1000000.0,0.36394
1171710.0,0.509595
1200000.0,0.556575
1347100.0,0.657424
1400000.0,0.754432
1473980.0,0.808967
1600000.0,1.01312
1692290.0,1.08167
1711840.0,1.10454
1792940.0,1.23999
1800000.0,1.26299
2000000.0,1.5042
2007490.0,1.50897
2158420.0,1.64893
2200000.0,1.70547
2210980.0,1.711
2246650.0,1.73829
2326340.0,1.81652
2395870.0,1.8916
2400000.0,1.89899
2434970.0,1.92006
2600000.0,2.0568
2660810.0,2.08038
2800000.0,2.1791
2840200.0,2.19022
2954040.0,2.23844
2998610.0,2.27101
3200000.0,2.35246
3400000.0,2.41691
3600000.0,2.46818
3800000.0,2.5092
4000000.0,2.54278
4200000.0,2.57029
4400000.0,2.59217
4600000.0,2.60796
4800000.0,2.61673
5000000.0,2.61843
5200000.0,2.61351
5600000.0,2.58925
6400000.0,2.52795
6800000.0,2.50931
7200000.0,2.50312
7800000.0,2.51223
8000000.0,2.51806
8500000.0,2.44999
9000000.0,2.17988
9500000.0,1.83378
1.0E7,1.46508
1.05E7,1.13397
1.1E7,0.870848
1.15E7,0.671459
1.2E7,0.535693
1.25E7,0.442837
1.3E7,0.380921
1.35E7,0.340793
1.4E7,0.314363
1.45E7,0.296314
1.5E7,0.283826
1.6E7,0.266593
1.7E7,0.257313
1.8E7,0.246474
1.9E7,0.236392
2.0E7,0.227307
2.0E7,0.0
2.0E8,0.0
