energy_eV,xs_barns
1.0000E-05,2.0000E+07
1.0000E-10,1.0000E+10
1.00000000E-05,1.18103600E-02
1.00390700E-05,1.17873600E-02
1.00781300E-05,1.17644900E-02
1.01171900E-05,1.17417600E-02
1.01562500E-05,1.17191600E-02
1.01953200E-05,1.16966800E-02
1.02343800E-05,1.16743400E-02
1.02734400E-05,1.16521300E-02
1.03125000E-05,1.16300400E-02
1.03515700E-05,1.16080700E-02
1.03906300E-05,1.15862300E-02
1.04296900E-05,1.15645200E-02
1.04687500E-05,1.15429200E-02
1.05078200E-05,1.15214400E-02
1.05468800E-05,1.15000900E-02
1.05859400E-05,1.14788500E-02
1.06250000E-05,1.14577300E-02
1.06640700E-05,1.14367300E-02
1.07031300E-05,1.14158400E-02
1.07421900E-05,1.13950700E-02
1.07812500E-05,1.13744000E-02
1.08593800E-05,1.13334100E-02
1.09375000E-05,1.12928700E-02
1.10156300E-05,1.12527500E-02
1.10937500E-05,1.12130600E-02
1.11718800E-05,1.11737800E-02
1.12500000E-05,1.11349200E-02
1.13281300E-05,1.10964500E-02
1.14062500E-05,1.10583900E-02
1.14843800E-05,1.10207100E-02
1.15625000E-05,1.09834100E-02
1.16406300E-05,1.09464900E-02
1.17187500E-05,1.09099500E-02
1.17968800E-05,1.08737600E-02
1.18750000E-05,1.08379300E-02
1.19531300E-05,1.08024500E-02
1.20312500E-05,1.07673300E-02
1.21093800E-05,1.07325300E-02
1.21875000E-05,1.06980800E-02
1.22656300E-05,1.06639500E-02
1.23437500E-05,1.06301600E-02
1.24218800E-05,1.05966700E-02
1.25000000E-05,1.05635100E-02
1.25781300E-05,1.05306500E-02
1.26562500E-05,1.04981000E-02
1.27343800E-05,1.04658500E-02
1.28125000E-05,1.04338900E-02
1.28906300E-05,1.04022200E-02
1.29687500E-05,1.03708500E-02
1.30468800E-05,1.03397500E-02
1.31250000E-05,1.03089300E-02
1.32031300E-05,1.02783800E-02
1.32812500E-05,1.02481100E-02
1.33593800E-05,1.02181000E-02
1.34375000E-05,1.01883500E-02
1.35156300E-05,1.01588600E-02
1.35937500E-05,1.01296300E-02
1.36718800E-05,1.01006400E-02
1.37500000E-05,1.00719100E-02
1.38281300E-05,1.00434200E-02
1.39062500E-05,1.00151700E-02
1.39843800E-05,9.98715100E-03
1.40625000E-05,9.95937200E-03
1.41406300E-05,9.93182000E-03
1.42187500E-05,9.90449900E-03
