energy_eV,xs_barns
1.0000E-05,2.0000E+07
1.0000E-10,1.0000E+10
1.00000000E-05,9.28577200E-04
1.00390700E-05,9.26768500E-04
1.00781300E-05,9.24970800E-04
1.01171900E-05,9.23183600E-04
1.01562500E-05,9.21406600E-04
1.01953200E-05,9.19639400E-04
1.02343800E-05,9.17882800E-04
1.02734400E-05,9.16136300E-04
1.03125000E-05,9.14399600E-04
1.03515700E-05,9.12672400E-04
1.03906300E-05,9.10955300E-04
1.04296900E-05,9.09247900E-04
1.04687500E-05,9.07550100E-04
1.05078200E-05,9.05861300E-04
1.05468800E-05,9.04182400E-04
1.05859400E-05,9.02512700E-04
1.06250000E-05,9.00852300E-04
1.06640700E-05,8.99200500E-04
1.07031300E-05,8.97558200E-04
1.07421900E-05,8.95924900E-04
1.07812500E-05,8.94300500E-04
1.08203200E-05,8.92684500E-04
1.08593800E-05,8.91077600E-04
1.08984400E-05,8.89479400E-04
1.09375000E-05,8.87889700E-04
1.09765700E-05,8.86308100E-04
1.10156300E-05,8.84735400E-04
1.10546900E-05,8.83170900E-04
1.10937500E-05,8.81614800E-04
1.11328200E-05,8.80066400E-04
1.11718800E-05,8.78526600E-04
1.12109400E-05,8.76994900E-04
1.12500000E-05,8.75471100E-04
1.12890700E-05,8.73954800E-04
1.13281300E-05,8.72446800E-04
1.13671900E-05,8.70946600E-04
1.14062500E-05,8.69454000E-04
1.14453200E-05,8.67968800E-04
1.14843800E-05,8.66491500E-04
1.15234400E-05,8.65021700E-04
1.15625000E-05,8.63559400E-04
1.16015700E-05,8.62104100E-04
1.16406300E-05,8.60656500E-04
1.16796900E-05,8.59216100E-04
1.17187500E-05,8.57783000E-04
1.17578200E-05,8.56356700E-04
1.17968800E-05,8.54937800E-04
1.18359400E-05,8.53525900E-04
1.18750000E-05,8.52121000E-04
1.19140700E-05,8.50722700E-04
1.19531300E-05,8.49331600E-04
1.19921900E-05,8.47947300E-04
1.20312500E-05,8.46569700E-04
1.20703200E-05,8.45198500E-04
1.21093800E-05,8.43834200E-04
1.21484400E-05,8.42476600E-04
1.21875000E-05,8.41125500E-04
1.22265700E-05,8.39780500E-04
1.22656300E-05,8.38442300E-04
1.23046900E-05,8.37110400E-04
1.23437500E-05,8.35784900E-04
1.23828200E-05,8.34465400E-04
1.24218800E-05,8.33152400E-04
1.24609400E-05,8.31845600E-04
1.25000000E-05,8.30544900E-04
